                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 1.0708,                0.75037,                 1.0879,                0.61623,                0.58987,                0.61118,                 0.3606,                 1.5234,                 1.2155,                 1.2981,              0.0083029,              0.0083029,              0.0083029
                     62,                  1.069,                0.74749,                  1.091,                0.63535,                0.58891,                0.63092,                0.37192,                 1.5271,                 1.1753,                  1.305,              0.0082746,              0.0082746,              0.0082746
                     63,                 1.0654,                0.73576,                 1.0844,                0.65072,                0.58604,                0.61764,                0.36234,                 1.5114,                 1.1971,                 1.2947,              0.0082463,              0.0082463,              0.0082463
                     64,                 1.0581,                0.73723,                  1.086,                0.62683,                0.60899,                0.63174,                0.37108,                 1.5299,                   1.18,                 1.3046,               0.008218,               0.008218,               0.008218
                     65,                 1.0476,                0.73225,                 1.0802,                 0.6294,                0.56503,                0.60602,                0.35259,                 1.5358,                 1.2265,                 1.3389,              0.0081897,              0.0081897,              0.0081897
                     66,                  1.048,                0.72748,                 1.0828,                0.60638,                0.56597,                0.58286,                0.34511,                 1.5496,                 1.2538,                 1.3234,              0.0081614,              0.0081614,              0.0081614
                     67,                 1.0514,                0.73175,                 1.0822,                0.60334,                0.59943,                0.61452,                0.36175,                 1.5441,                  1.195,                 1.3123,              0.0081331,              0.0081331,              0.0081331
                     68,                 1.0556,                0.73543,                 1.0821,                0.63678,                0.54975,                0.61661,                0.35507,                 1.5467,                 1.2139,                 1.3327,              0.0081049,              0.0081049,              0.0081049
                     69,                 1.0333,                0.71474,                 1.0726,                0.62875,                0.58222,                0.61937,                0.35494,                 1.5687,                 1.2205,                 1.3331,              0.0080766,              0.0080766,              0.0080766
                     70,                 1.0372,                0.71572,                 1.0737,                0.67373,                0.55078,                0.61477,                0.35957,                 1.5352,                 1.2069,                 1.3264,              0.0080483,              0.0080483,              0.0080483
                     71,                  1.035,                0.71649,                 1.0753,                0.63705,                0.57389,                0.61553,                0.35082,                  1.576,                 1.2175,                 1.3432,                0.00802,                0.00802,                0.00802
                     72,                 1.0402,                0.71818,                  1.075,                0.60487,                0.59272,                0.61699,                0.35969,                 1.5328,                 1.1921,                 1.3152,              0.0079917,              0.0079917,              0.0079917
                     73,                 1.0292,                0.70647,                 1.0658,                0.63396,                0.58317,                0.62103,                0.35866,                 1.5384,                 1.1941,                 1.3334,              0.0079634,              0.0079634,              0.0079634
                     74,                 1.0371,                0.71731,                 1.0759,                0.60181,                0.58229,                0.60193,                 0.3557,                 1.5499,                 1.2513,                 1.3296,              0.0079351,              0.0079351,              0.0079351
                     75,                 1.0254,                0.70384,                 1.0703,                0.64727,                0.56405,                0.60462,                0.35292,                 1.5472,                 1.2137,                 1.3338,              0.0079069,              0.0079069,              0.0079069
                     76,                 1.0272,                0.70816,                 1.0705,                0.64938,                 0.5631,                0.61885,                0.35816,                 1.5439,                 1.2077,                 1.3332,              0.0078786,              0.0078786,              0.0078786
                     77,                 1.0221,                0.69648,                  1.064,                0.61936,                0.61601,                0.62341,                0.35873,                 1.5671,                  1.163,                 1.3394,              0.0078503,              0.0078503,              0.0078503
                     78,                 1.0262,                0.69846,                 1.0653,                0.62911,                0.62333,                 0.6336,                0.36684,                  1.562,                 1.1925,                 1.3299,               0.007822,               0.007822,               0.007822
                     79,                 1.0196,                0.70172,                 1.0661,                0.62586,                0.59369,                0.61092,                0.35331,                 1.5699,                 1.2023,                 1.3419,              0.0077937,              0.0077937,              0.0077937
                     80,                 1.0168,                0.69153,                  1.061,                0.62298,                0.60661,                0.62216,                0.35499,                 1.5953,                 1.2026,                 1.3486,              0.0077654,              0.0077654,              0.0077654
